best_answer_last_adversary - random
best_answer_last_adversary : (1, 0, 1, 2, 3)
random : (1, 2, 2, 1, 1)
best_answer_last_adversary : (0, 0, 3, 2, 2)
random : (1, 3, 0, 1, 2)
best_answer_last_adversary : (0, 0, 1, 2, 3)
random : (1, 1, 2, 1, 2)
best_answer_last_adversary : (0, 2, 0, 2, 3)
random : (1, 2, 3, 1, 0)
best_answer_last_adversary : (0, 0, 4, 2, 1)
random : (2, 2, 2, 1, 0)
best_answer_last_adversary : (0, 0, 3, 2, 1)
random : (1, 3, 1, 1, 1)
best_answer_last_adversary : (0, 0, 2, 2, 2)
random : (1, 2, 4, 0, 0)
best_answer_last_adversary : (2, 3, 0, 1, 1)
random : (3, 1, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
random : (2, 2, 0, 3, 0)
best_answer_last_adversary : (0, 0, 1, 4, 1)
random : (1, 0, 1, 2, 3)
best_answer_last_adversary : (0, 1, 2, 0, 4)
random : (5, 0, 1, 0, 1)
best_answer_last_adversary : (0, 1, 2, 1, 2)
random : (3, 0, 1, 1, 2)
best_answer_last_adversary : (0, 0, 2, 2, 3)
random : (2, 1, 0, 2, 2)
best_answer_last_adversary : (0, 0, 1, 3, 3)
random : (1, 3, 1, 0, 2)
best_answer_last_adversary : (0, 0, 2, 1, 3)
random : (1, 2, 2, 2, 0)
best_answer_last_adversary : (0, 0, 3, 3, 1)
random : (3, 1, 0, 1, 2)
best_answer_last_adversary : (0, 0, 1, 2, 3)
random : (3, 0, 0, 1, 3)
best_answer_last_adversary : (0, 0, 1, 2, 4)
random : (1, 1, 0, 2, 3)
best_answer_last_adversary : (0, 2, 1, 0, 4)
random : (2, 1, 2, 2, 0)
best_answer_last_adversary : (0, 0, 3, 3, 1)
random : (2, 1, 2, 1, 1)
best_answer_last_adversary : (0, 0, 3, 2, 2)
random : (2, 1, 1, 3, 0)
best_answer_last_adversary : (0, 0, 2, 4, 1)
random : (2, 2, 1, 2, 0)
best_answer_last_adversary : (0, 0, 2, 3, 1)
random : (2, 1, 3, 1, 0)
best_answer_last_adversary : (0, 0, 4, 2, 1)
random : (1, 4, 1, 1, 0)
best_answer_last_adversary : (2, 0, 2, 2, 1)
random : (2, 0, 1, 3, 1)
best_answer_last_adversary : (0, 1, 0, 4, 2)
random : (0, 1, 2, 1, 3)
best_answer_last_adversary : (0, 2, 3, 2, 0)
random : (1, 0, 5, 0, 1)
best_answer_last_adversary : (2, 1, 0, 1, 2)
random : (4, 0, 2, 0, 1)
best_answer_last_adversary : (0, 1, 3, 1, 2)
random : (0, 3, 0, 0, 4)
best_answer_last_adversary : (1, 4, 1, 1, 0)
random : (3, 0, 1, 2, 1)
best_answer_last_adversary : (0, 0, 2, 3, 2)
random : (0, 1, 3, 2, 1)
best_answer_last_adversary : (0, 2, 0, 3, 2)
random : (2, 0, 0, 2, 3)
best_answer_last_adversary : (0, 1, 1, 0, 4)
random : (2, 0, 2, 3, 0)
best_answer_last_adversary : (0, 1, 0, 4, 1)
random : (0, 1, 3, 2, 1)
best_answer_last_adversary : (0, 2, 0, 3, 2)
random : (1, 1, 2, 0, 3)
best_answer_last_adversary : (0, 2, 0, 1, 4)
random : (0, 1, 2, 3, 1)
best_answer_last_adversary : (0, 2, 3, 0, 2)
random : (0, 1, 1, 3, 2)
best_answer_last_adversary : (0, 2, 2, 0, 3)
random : (1, 1, 1, 0, 4)
best_answer_last_adversary : (2, 2, 2, 1, 0)
random : (1, 2, 1, 2, 1)
best_answer_last_adversary : (0, 0, 2, 3, 2)
random : (3, 1, 2, 0, 1)
best_answer_last_adversary : (0, 0, 3, 1, 2)
random : (1, 0, 2, 3, 1)
best_answer_last_adversary : (0, 1, 0, 4, 2)
random : (2, 2, 3, 0, 0)
best_answer_last_adversary : (0, 0, 4, 1, 1)
random : (2, 2, 1, 0, 2)
